Store,Item,Allocation
7,Phone Charger,0
7,Power Cord,0
7,Shrimp,0
7,Steak,3
7,Tape,0
8,Bracket,0
8,Brush,0
8,Cereal,0
8,Ear Buds,0
8,Eggs,0
8,Glue,0
8,Keyboard,0
8,King Crab,0
8,Milk,0
8,Mouse,0
8,Nails,0
8,Noodles,0
8,Paint,0
8,Phone Charger,0
8,Power Cord,0
8,Shrimp,0
8,Steak,0
8,Tape,0
9,Bracket,0
9,Brush,0
9,Cereal,0
9,Ear Buds,0
9,Eggs,0
9,Glue,0
9,Keyboard,0
9,King Crab,0
9,Milk,0
9,Mouse,0
9,Nails,0
9,Noodles,0
9,Paint,0
9,Phone Charger,0
9,Power Cord,0
9,Shrimp,0
9,Steak,0
9,Tape,0
10,Bracket,0
10,Brush,0
10,Cereal,0
10,Ear Buds,0
10,Eggs,0
10,Glue,0
10,Keyboard,0
10,King Crab,0
10,Milk,0
10,Mouse,0
10,Nails,0
10,Noodles,0
10,Paint,0
10,Phone Charger,0
10,Power Cord,0
10,Shrimp,0
10,Steak,0
10,Tape,0
11,Bracket,0
11,Brush,0
11,Cereal,0
11,Ear Buds,0
11,Eggs,0
11,Glue,0
11,Keyboard,0
11,King Crab,0
11,Milk,0
11,Mouse,0
11,Nails,0
11,Noodles,0
11,Paint,0
11,Phone Charger,0
11,Power Cord,0
11,Shrimp,0
11,Steak,0
11,Tape,0
12,Bracket,0
12,Brush,0
12,Cereal,0
12,Ear Buds,0
12,Eggs,0
12,Glue,0
12,Keyboard,3
12,King Crab,0
12,Milk,0
12,Mouse,0
12,Nails,0
12,Noodles,6
12,Paint,0
12,Phone Charger,6
12,Power Cord,0
12,Shrimp,6
12,Steak,3
12,Tape,0
13,Bracket,0
13,Brush,0
13,Cereal,0
13,Ear Buds,0
13,Eggs,0
13,Glue,0
13,Keyboard,0
13,King Crab,0
13,Milk,0
13,Mouse,0
13,Nails,0
13,Noodles,0
13,Paint,0
13,Phone Charger,0
13,Power Cord,0
13,Shrimp,0
13,Steak,0
13,Tape,0
14,Bracket,0
14,Brush,0
14,Cereal,0
14,Ear Buds,0
14,Eggs,0
14,Glue,0
14,Keyboard,3
14,King Crab,0
14,Milk,0
14,Mouse,3
14,Nails,0
14,Noodles,0
14,Paint,0
14,Phone Charger,0
14,Power Cord,0
14,Shrimp,3
14,Steak,3
14,Tape,0
15,Bracket,0
15,Brush,0
15,Cereal,3
15,Ear Buds,0
15,Eggs,0
15,Glue,0
15,Keyboard,0
15,King Crab,0
15,Milk,0
15,Mouse,0
15,Nails,0
15,Noodles,0
15,Paint,0
15,Phone Charger,3
15,Power Cord,0
15,Shrimp,3
15,Steak,0
15,Tape,3
16,Bracket,0
16,Brush,0
16,Cereal,0
16,Ear Buds,0
16,Eggs,0
16,Glue,0
16,Keyboard,0
16,King Crab,0
16,Milk,0
16,Mouse,0
16,Nails,0
16,Noodles,0
16,Paint,0
16,Phone Charger,0
16,Power Cord,0
16,Shrimp,0
16,Steak,0
16,Tape,0
17,Bracket,0
17,Brush,0
17,Cereal,0
17,Ear Buds,0
17,Eggs,0
17,Glue,0
17,Keyboard,0
17,King Crab,0
17,Milk,0
17,Mouse,0
17,Nails,0
17,Noodles,0
17,Paint,0
17,Phone Charger,0
17,Power Cord,0
17,Shrimp,0
17,Steak,0
17,Tape,0
18,Bracket,0
18,Brush,0
18,Cereal,0
18,Ear Buds,0
18,Eggs,0
18,Glue,0
18,Keyboard,0
18,King Crab,3
18,Milk,0
18,Mouse,0
18,Nails,0
18,Noodles,0
18,Paint,0
18,Phone Charger,0
18,Power Cord,0
18,Shrimp,3
18,Steak,0
18,Tape,0
19,Bracket,0
19,Brush,0
19,Cereal,0
19,Ear Buds,0
19,Eggs,0
19,Glue,0
19,Keyboard,0
19,King Crab,0
19,Milk,0
19,Mouse,0
19,Nails,0
19,Noodles,3
19,Paint,0
19,Phone Charger,0
19,Power Cord,0
19,Shrimp,0
19,Steak,0
19,Tape,0
20,Bracket,0
20,Brush,0
20,Cereal,0
20,Ear Buds,0
20,Eggs,0
20,Glue,3
20,Keyboard,0
20,King Crab,0
20,Milk,0
20,Mouse,0
20,Nails,0
20,Noodles,0
20,Paint,0
20,Phone Charger,0
20,Power Cord,0
20,Shrimp,0
20,Steak,0
20,Tape,0
21,Bracket,0
21,Brush,0
21,Cereal,0
21,Ear Buds,0
21,Eggs,0
21,Glue,0
21,Keyboard,0
21,King Crab,0
21,Milk,0
21,Mouse,0
21,Nails,0
21,Noodles,0
21,Paint,0
21,Phone Charger,0
21,Power Cord,0
21,Shrimp,0
21,Steak,0
21,Tape,0
22,Bracket,0
22,Brush,0
22,Cereal,0
22,Ear Buds,9
22,Eggs,0
22,Glue,0
22,Keyboard,0
22,King Crab,0
22,Milk,0
22,Mouse,0
22,Nails,0
22,Noodles,3
22,Paint,0
22,Phone Charger,0
22,Power Cord,0
22,Shrimp,0
22,Steak,3
22,Tape,0
23,Bracket,0
23,Brush,0
23,Cereal,0
23,Ear Buds,0
23,Eggs,0
23,Glue,0
23,Keyboard,0
23,King Crab,0
23,Milk,0
23,Mouse,0
23,Nails,0
23,Noodles,0
23,Paint,0
23,Phone Charger,0
23,Power Cord,0
23,Shrimp,0
23,Steak,0
23,Tape,0
24,Bracket,0
24,Brush,0
24,Cereal,0
24,Ear Buds,3
24,Eggs,0
24,Glue,0
24,Keyboard,0
24,King Crab,0
24,Milk,0
24,Mouse,0
24,Nails,0
24,Noodles,0
24,Paint,0
24,Phone Charger,0
24,Power Cord,0
24,Shrimp,0
24,Steak,0
24,Tape,0
25,Bracket,0
25,Brush,0
25,Cereal,0
25,Ear Buds,0
25,Eggs,0
25,Glue,0
25,Keyboard,0
25,King Crab,0
25,Milk,0
25,Mouse,0
25,Nails,0
25,Noodles,0
25,Paint,0
25,Phone Charger,0
25,Power Cord,0
25,Shrimp,0
25,Steak,0
25,Tape,0
26,Bracket,0
26,Brush,0
26,Cereal,0
26,Ear Buds,0
26,Eggs,0
26,Glue,0
26,Keyboard,0
26,King Crab,0
26,Milk,0
26,Mouse,0
26,Nails,0
26,Noodles,3
26,Paint,0
26,Phone Charger,0
26,Power Cord,0
26,Shrimp,3
26,Steak,0
26,Tape,0
27,Bracket,0
27,Brush,0
27,Cereal,3
27,Ear Buds,0
27,Eggs,6
27,Glue,3
27,Keyboard,3
27,King Crab,0
27,Milk,0
27,Mouse,0
27,Nails,0
27,Noodles,0
27,Paint,3
27,Phone Charger,0
27,Power Cord,0
27,Shrimp,0
27,Steak,0
27,Tape,0
28,Bracket,0
28,Brush,0
28,Cereal,0
28,Ear Buds,0
28,Eggs,0
28,Glue,0
28,Keyboard,0
28,King Crab,0
28,Milk,0
28,Mouse,0
28,Nails,0
28,Noodles,0
28,Paint,0
28,Phone Charger,0
28,Power Cord,0
28,Shrimp,0
28,Steak,0
28,Tape,0
29,Bracket,0
29,Brush,0
29,Cereal,0
29,Ear Buds,0
29,Eggs,0
29,Glue,0
29,Keyboard,0
29,King Crab,0
29,Milk,0
29,Mouse,0
29,Nails,0
29,Noodles,0
29,Paint,0
29,Phone Charger,3
29,Power Cord,0
29,Shrimp,0
29,Steak,0
29,Tape,0
30,Bracket,3
30,Brush,0
30,Cereal,0
30,Ear Buds,0
30,Eggs,0
30,Glue,0
30,Keyboard,24
30,King Crab,0
30,Milk,3
30,Mouse,0
30,Nails,0
30,Noodles,0
30,Paint,0
30,Phone Charger,0
30,Power Cord,0
30,Shrimp,0
30,Steak,3
30,Tape,0
31,Bracket,0
31,Brush,0
31,Cereal,0
31,Ear Buds,0
31,Eggs,0
31,Glue,0
31,Keyboard,3
31,King Crab,0
31,Milk,0
31,Mouse,0
31,Nails,0
31,Noodles,0
31,Paint,0
31,Phone Charger,0
31,Power Cord,0
31,Shrimp,3
31,Steak,3
31,Tape,0
32,Bracket,0
32,Brush,0
32,Cereal,0
32,Ear Buds,0
32,Eggs,0
32,Glue,0
32,Keyboard,0
32,King Crab,0
32,Milk,0
32,Mouse,3
32,Nails,0
32,Noodles,3
32,Paint,0
32,Phone Charger,0
32,Power Cord,0
32,Shrimp,0
32,Steak,0
32,Tape,0
33,Bracket,0
33,Brush,0
33,Cereal,0
33,Ear Buds,0
33,Eggs,0
33,Glue,0
33,Keyboard,0
33,King Crab,0
33,Milk,0
33,Mouse,0
33,Nails,0
33,Noodles,0
33,Paint,0
33,Phone Charger,0
33,Power Cord,0
33,Shrimp,0
33,Steak,3
33,Tape,0
34,Bracket,0
34,Brush,0
34,Cereal,0
34,Ear Buds,0
34,Eggs,0
34,Glue,0
34,Keyboard,3
34,King Crab,0
34,Milk,0
34,Mouse,0
34,Nails,0
34,Noodles,0
34,Paint,0
34,Phone Charger,6
34,Power Cord,0
34,Shrimp,0
34,Steak,0
34,Tape,0
35,Bracket,0
35,Brush,3
35,Cereal,0
35,Ear Buds,0
35,Eggs,0
35,Glue,0
35,Keyboard,0
35,King Crab,0
35,Milk,0
35,Mouse,18
35,Nails,0
35,Noodles,0
35,Paint,0
35,Phone Charger,0
35,Power Cord,0
35,Shrimp,0
35,Steak,6
35,Tape,0
36,Bracket,0
36,Brush,0
36,Cereal,0
36,Ear Buds,0
36,Eggs,0
36,Glue,0
36,Keyboard,0
36,King Crab,0
36,Milk,0
36,Mouse,0
36,Nails,0
36,Noodles,0
36,Paint,0
36,Phone Charger,0
36,Power Cord,0
36,Shrimp,0
36,Steak,3
36,Tape,0
37,Bracket,0
37,Brush,0
37,Cereal,3
37,Ear Buds,0
37,Eggs,0
37,Glue,0
37,Keyboard,0
37,King Crab,0
37,Milk,0
37,Mouse,0
37,Nails,0
37,Noodles,0
37,Paint,0
37,Phone Charger,0
37,Power Cord,0
37,Shrimp,0
37,Steak,3
37,Tape,3
38,Bracket,0
38,Brush,0
38,Cereal,0
38,Ear Buds,0
38,Eggs,0
38,Glue,0
38,Keyboard,0
38,King Crab,0
38,Milk,0
38,Mouse,0
38,Nails,0
38,Noodles,3
38,Paint,0
38,Phone Charger,0
38,Power Cord,0
38,Shrimp,0
38,Steak,0
38,Tape,0
39,Bracket,0
39,Brush,0
39,Cereal,0
39,Ear Buds,0
39,Eggs,0
39,Glue,0
39,Keyboard,3
39,King Crab,0
39,Milk,0
39,Mouse,0
39,Nails,0
39,Noodles,0
39,Paint,0
39,Phone Charger,0
39,Power Cord,0
39,Shrimp,0
39,Steak,0
39,Tape,0
40,Bracket,0
40,Brush,0
40,Cereal,0
40,Ear Buds,3
40,Eggs,0
40,Glue,0
40,Keyboard,0
40,King Crab,0
40,Milk,0
40,Mouse,0
40,Nails,0
40,Noodles,0
40,Paint,0
40,Phone Charger,0
40,Power Cord,0
40,Shrimp,0
40,Steak,0
40,Tape,0
41,Bracket,0
41,Brush,0
41,Cereal,0
41,Ear Buds,0
41,Eggs,0
41,Glue,0
41,Keyboard,0
41,King Crab,0
41,Milk,0
41,Mouse,0
41,Nails,0
41,Noodles,0
41,Paint,0
41,Phone Charger,0
41,Power Cord,0
41,Shrimp,0
41,Steak,0
41,Tape,0
42,Bracket,0
42,Brush,0
42,Cereal,0
42,Ear Buds,0
42,Eggs,0
42,Glue,0
42,Keyboard,3
42,King Crab,0
42,Milk,0
42,Mouse,0
42,Nails,0
42,Noodles,0
42,Paint,0
42,Phone Charger,0
42,Power Cord,0
42,Shrimp,0
42,Steak,0
42,Tape,0
43,Bracket,0
43,Brush,0
43,Cereal,0
43,Ear Buds,3
43,Eggs,0
43,Glue,0
43,Keyboard,0
43,King Crab,0
43,Milk,0
43,Mouse,0
43,Nails,0
43,Noodles,0
43,Paint,0
43,Phone Charger,0
43,Power Cord,0
43,Shrimp,0
43,Steak,0
43,Tape,0
44,Bracket,0
44,Brush,0
44,Cereal,0
44,Ear Buds,3
44,Eggs,0
44,Glue,0
44,Keyboard,0
44,King Crab,0
44,Milk,0
44,Mouse,3
44,Nails,0
44,Noodles,0
44,Paint,0
44,Phone Charger,3
44,Power Cord,0
44,Shrimp,6
44,Steak,0
44,Tape,0
45,Bracket,3
45,Brush,0
45,Cereal,0
45,Ear Buds,6
45,Eggs,0
45,Glue,0
45,Keyboard,3
45,King Crab,0
45,Milk,3
45,Mouse,0
45,Nails,0
45,Noodles,3
45,Paint,0
45,Phone Charger,3
45,Power Cord,3
45,Shrimp,3
45,Steak,0
45,Tape,0
46,Bracket,3
46,Brush,3
46,Cereal,0
46,Ear Buds,0
46,Eggs,0
46,Glue,0
46,Keyboard,0
46,King Crab,0
46,Milk,0
46,Mouse,3
46,Nails,0
46,Noodles,0
46,Paint,0
46,Phone Charger,0
46,Power Cord,0
46,Shrimp,0
46,Steak,0
46,Tape,0
47,Bracket,0
47,Brush,0
47,Cereal,0
47,Ear Buds,0
47,Eggs,0
47,Glue,0
47,Keyboard,0
47,King Crab,0
47,Milk,0
47,Mouse,0
47,Nails,0
47,Noodles,0
47,Paint,0
47,Phone Charger,3
47,Power Cord,0
47,Shrimp,0
47,Steak,0
47,Tape,0
48,Bracket,0
48,Brush,0
48,Cereal,0
48,Ear Buds,0
48,Eggs,0
48,Glue,0
48,Keyboard,0
48,King Crab,0
48,Milk,0
48,Mouse,0
48,Nails,0
48,Noodles,0
48,Paint,0
48,Phone Charger,0
48,Power Cord,0
48,Shrimp,0
48,Steak,0
48,Tape,0
49,Bracket,0
49,Brush,0
49,Cereal,0
49,Ear Buds,9
49,Eggs,0
49,Glue,0
49,Keyboard,6
49,King Crab,0
49,Milk,0
49,Mouse,0
49,Nails,0
49,Noodles,0
49,Paint,0
49,Phone Charger,9
49,Power Cord,0
49,Shrimp,0
49,Steak,3
49,Tape,0
50,Bracket,0
50,Brush,0
50,Cereal,0
50,Ear Buds,0
50,Eggs,0
50,Glue,0
50,Keyboard,0
50,King Crab,0
50,Milk,3
50,Mouse,0
50,Nails,0
50,Noodles,0
50,Paint,0
50,Phone Charger,0
50,Power Cord,0
50,Shrimp,0
50,Steak,0
50,Tape,0
51,Bracket,0
51,Brush,0
51,Cereal,0
51,Ear Buds,0
51,Eggs,0
51,Glue,0
51,Keyboard,3
51,King Crab,0
51,Milk,0
51,Mouse,0
51,Nails,0
51,Noodles,0
51,Paint,0
51,Phone Charger,3
51,Power Cord,0
51,Shrimp,0
51,Steak,0
51,Tape,0
52,Bracket,0
52,Brush,0
52,Cereal,0
52,Ear Buds,0
52,Eggs,0
52,Glue,0
52,Keyboard,0
52,King Crab,0
52,Milk,0
52,Mouse,0
52,Nails,0
52,Noodles,0
52,Paint,0
52,Phone Charger,0
52,Power Cord,0
52,Shrimp,0
52,Steak,6
52,Tape,0
53,Bracket,0
53,Brush,0
53,Cereal,0
53,Ear Buds,6
53,Eggs,3
53,Glue,0
53,Keyboard,6
53,King Crab,0
53,Milk,0
53,Mouse,3
53,Nails,0
53,Noodles,0
53,Paint,0
53,Phone Charger,0
53,Power Cord,0
53,Shrimp,3
53,Steak,0
53,Tape,0
54,Bracket,0
54,Brush,0
54,Cereal,0
54,Ear Buds,0
54,Eggs,0
54,Glue,0
54,Keyboard,0
54,King Crab,0
54,Milk,0
54,Mouse,0
54,Nails,0
54,Noodles,3
54,Paint,0
54,Phone Charger,0
54,Power Cord,0
54,Shrimp,0
54,Steak,6
54,Tape,0
55,Bracket,0
55,Brush,0
55,Cereal,0
55,Ear Buds,0
55,Eggs,0
55,Glue,0
55,Keyboard,0
55,King Crab,0
55,Milk,0
55,Mouse,0
55,Nails,0
55,Noodles,0
55,Paint,0
55,Phone Charger,0
55,Power Cord,0
55,Shrimp,0
55,Steak,0
55,Tape,0
56,Bracket,0
56,Brush,0
56,Cereal,0
56,Ear Buds,3
56,Eggs,0
56,Glue,0
56,Keyboard,3
56,King Crab,3
56,Milk,0
56,Mouse,0
56,Nails,0
56,Noodles,0
56,Paint,0
56,Phone Charger,9
56,Power Cord,0
56,Shrimp,3
56,Steak,0
56,Tape,0
57,Bracket,0
57,Brush,0
57,Cereal,0
57,Ear Buds,0
57,Eggs,0
57,Glue,0
57,Keyboard,0
57,King Crab,0
57,Milk,0
57,Mouse,0
57,Nails,0
57,Noodles,0
57,Paint,0
57,Phone Charger,0
57,Power Cord,0
57,Shrimp,0
57,Steak,0
57,Tape,0
58,Bracket,0
58,Brush,0
58,Cereal,0
58,Ear Buds,0
58,Eggs,0
58,Glue,0
58,Keyboard,0
58,King Crab,0
58,Milk,0
58,Mouse,0
58,Nails,0
58,Noodles,0
58,Paint,0
58,Phone Charger,0
58,Power Cord,0
58,Shrimp,0
58,Steak,3
58,Tape,0
59,Bracket,0
59,Brush,0
59,Cereal,0
59,Ear Buds,0
59,Eggs,0
59,Glue,0
59,Keyboard,0
59,King Crab,0
59,Milk,0
59,Mouse,0
59,Nails,0
59,Noodles,3
59,Paint,0
59,Phone Charger,0
59,Power Cord,0
59,Shrimp,0
59,Steak,0
59,Tape,0
60,Bracket,0
60,Brush,0
60,Cereal,0
60,Ear Buds,0
60,Eggs,0
60,Glue,0
60,Keyboard,0
60,King Crab,0
60,Milk,0
60,Mouse,3
60,Nails,0
60,Noodles,0
60,Paint,9
60,Phone Charger,3
60,Power Cord,0
60,Shrimp,0
60,Steak,3
60,Tape,0
61,Bracket,0
61,Brush,0
61,Cereal,0
61,Ear Buds,0
61,Eggs,0
61,Glue,0
61,Keyboard,3
61,King Crab,0
61,Milk,0
61,Mouse,0
61,Nails,0
61,Noodles,0
61,Paint,0
61,Phone Charger,0
61,Power Cord,0
61,Shrimp,0
61,Steak,0
61,Tape,3
62,Bracket,0
62,Brush,0
62,Cereal,0
62,Ear Buds,0
62,Eggs,0
62,Glue,0
62,Keyboard,0
62,King Crab,0
62,Milk,0
62,Mouse,0
62,Nails,0
62,Noodles,0
62,Paint,0
62,Phone Charger,0
62,Power Cord,0
62,Shrimp,0
62,Steak,0
62,Tape,0
63,Bracket,0
63,Brush,0
63,Cereal,0
63,Ear Buds,0
63,Eggs,0
63,Glue,0
63,Keyboard,0
63,King Crab,0
63,Milk,0
63,Mouse,0
63,Nails,0
63,Noodles,0
63,Paint,0
63,Phone Charger,0
63,Power Cord,0
63,Shrimp,3
63,Steak,0
63,Tape,0
64,Bracket,0
64,Brush,0
64,Cereal,0
64,Ear Buds,0
64,Eggs,0
64,Glue,0
64,Keyboard,0
64,King Crab,0
64,Milk,0
64,Mouse,0
64,Nails,0
64,Noodles,0
64,Paint,0
64,Phone Charger,0
64,Power Cord,0
64,Shrimp,0
64,Steak,0
64,Tape,0
65,Bracket,0
65,Brush,0
65,Cereal,0
65,Ear Buds,0
65,Eggs,0
65,Glue,0
65,Keyboard,0
65,King Crab,0
65,Milk,0
65,Mouse,0
65,Nails,0
65,Noodles,0
65,Paint,0
65,Phone Charger,0
65,Power Cord,0
65,Shrimp,0
65,Steak,0
65,Tape,0
66,Bracket,0
66,Brush,0
66,Cereal,0
66,Ear Buds,0
66,Eggs,3
66,Glue,0
66,Keyboard,0
66,King Crab,0
66,Milk,0
66,Mouse,0
66,Nails,0
66,Noodles,3
66,Paint,0
66,Phone Charger,0
66,Power Cord,0
66,Shrimp,3
66,Steak,3
66,Tape,0
67,Bracket,0
67,Brush,0
67,Cereal,0
67,Ear Buds,0
67,Eggs,0
67,Glue,0
67,Keyboard,0
67,King Crab,0
67,Milk,0
67,Mouse,3
67,Nails,0
67,Noodles,0
67,Paint,0
67,Phone Charger,0
67,Power Cord,0
67,Shrimp,0
67,Steak,0
67,Tape,3
68,Bracket,0
68,Brush,0
68,Cereal,0
68,Ear Buds,3
68,Eggs,0
68,Glue,0
68,Keyboard,0
68,King Crab,0
68,Milk,0
68,Mouse,0
68,Nails,0
68,Noodles,0
68,Paint,0
68,Phone Charger,0
68,Power Cord,0
68,Shrimp,0
68,Steak,0
68,Tape,0
69,Bracket,0
69,Brush,0
69,Cereal,0
69,Ear Buds,0
69,Eggs,0
69,Glue,0
69,Keyboard,0
69,King Crab,0
69,Milk,0
69,Mouse,3
69,Nails,0
69,Noodles,0
69,Paint,0
69,Phone Charger,0
69,Power Cord,0
69,Shrimp,0
69,Steak,0
69,Tape,0
70,Bracket,0
70,Brush,0
70,Cereal,0
70,Ear Buds,0
70,Eggs,0
70,Glue,0
70,Keyboard,0
70,King Crab,0
70,Milk,0
70,Mouse,0
70,Nails,0
70,Noodles,0
70,Paint,0
70,Phone Charger,0
70,Power Cord,0
70,Shrimp,0
70,Steak,0
70,Tape,0
71,Bracket,0
71,Brush,0
71,Cereal,0
71,Ear Buds,3
71,Eggs,0
71,Glue,0
71,Keyboard,3
71,King Crab,3
71,Milk,0
71,Mouse,3
71,Nails,0
71,Noodles,0
71,Paint,0
71,Phone Charger,0
71,Power Cord,0
71,Shrimp,0
71,Steak,0
71,Tape,0
72,Bracket,0
72,Brush,0
72,Cereal,0
72,Ear Buds,0
72,Eggs,0
72,Glue,0
72,Keyboard,0
72,King Crab,0
72,Milk,0
72,Mouse,0
72,Nails,0
72,Noodles,0
72,Paint,0
72,Phone Charger,0
72,Power Cord,0
72,Shrimp,0
72,Steak,0
72,Tape,0
73,Bracket,0
73,Brush,0
73,Cereal,3
73,Ear Buds,6
73,Eggs,0
73,Glue,0
73,Keyboard,3
73,King Crab,3
73,Milk,0
73,Mouse,3
73,Nails,0
73,Noodles,0
73,Paint,0
73,Phone Charger,0
73,Power Cord,0
73,Shrimp,3
73,Steak,3
73,Tape,0
74,Bracket,0
74,Brush,0
74,Cereal,0
74,Ear Buds,0
74,Eggs,0
74,Glue,0
74,Keyboard,0
74,King Crab,0
74,Milk,0
74,Mouse,0
74,Nails,0
74,Noodles,0
74,Paint,0
74,Phone Charger,0
74,Power Cord,0
74,Shrimp,0
74,Steak,0
74,Tape,0
75,Bracket,0
75,Brush,0
75,Cereal,0
75,Ear Buds,0
75,Eggs,0
75,Glue,0
75,Keyboard,0
75,King Crab,0
75,Milk,0
75,Mouse,0
75,Nails,0
75,Noodles,0
75,Paint,0
75,Phone Charger,0
75,Power Cord,0
75,Shrimp,0
75,Steak,0
75,Tape,0
76,Bracket,0
76,Brush,0
76,Cereal,0
76,Ear Buds,0
76,Eggs,0
76,Glue,0
76,Keyboard,0
76,King Crab,0
76,Milk,0
76,Mouse,0
76,Nails,0
76,Noodles,0
76,Paint,0
76,Phone Charger,0
76,Power Cord,0
76,Shrimp,0
76,Steak,0
76,Tape,0
77,Bracket,0
77,Brush,0
77,Cereal,0
77,Ear Buds,6
77,Eggs,9
77,Glue,0
77,Keyboard,3
77,King Crab,0
77,Milk,3
77,Mouse,0
77,Nails,0
77,Noodles,0
77,Paint,0
77,Phone Charger,18
77,Power Cord,0
77,Shrimp,3
77,Steak,3
77,Tape,0
78,Bracket,0
78,Brush,3
78,Cereal,0
78,Ear Buds,6
78,Eggs,0
78,Glue,0
78,Keyboard,3
78,King Crab,0
78,Milk,0
78,Mouse,6
78,Nails,0
78,Noodles,0
78,Paint,3
78,Phone Charger,9
78,Power Cord,0
78,Shrimp,3
78,Steak,0
78,Tape,0
79,Bracket,0
79,Brush,0
79,Cereal,0
79,Ear Buds,0
79,Eggs,0
79,Glue,0
79,Keyboard,0
79,King Crab,0
79,Milk,0
79,Mouse,3
79,Nails,0
79,Noodles,3
79,Paint,0
79,Phone Charger,0
79,Power Cord,0
79,Shrimp,0
79,Steak,0
79,Tape,0
80,Bracket,0
80,Brush,3
80,Cereal,3
80,Ear Buds,3
80,Eggs,0
80,Glue,0
80,Keyboard,0
80,King Crab,0
80,Milk,6
80,Mouse,3
80,Nails,0
80,Noodles,6
80,Paint,0
80,Phone Charger,15
80,Power Cord,0
80,Shrimp,0
80,Steak,3
80,Tape,0
81,Bracket,0
81,Brush,0
81,Cereal,0
81,Ear Buds,0
81,Eggs,3
81,Glue,0
81,Keyboard,0
81,King Crab,0
81,Milk,0
81,Mouse,6
81,Nails,0
81,Noodles,0
81,Paint,0
81,Phone Charger,0
81,Power Cord,0
81,Shrimp,0
81,Steak,0
81,Tape,0
82,Bracket,0
82,Brush,0
82,Cereal,3
82,Ear Buds,0
82,Eggs,0
82,Glue,0
82,Keyboard,3
82,King Crab,0
82,Milk,0
82,Mouse,3
82,Nails,0
82,Noodles,0
82,Paint,0
82,Phone Charger,3
82,Power Cord,0
82,Shrimp,3
82,Steak,0
82,Tape,0
83,Bracket,0
83,Brush,0
83,Cereal,0
83,Ear Buds,0
83,Eggs,0
83,Glue,0
83,Keyboard,0
83,King Crab,0
83,Milk,0
83,Mouse,0
83,Nails,0
83,Noodles,0
83,Paint,0
83,Phone Charger,0
83,Power Cord,0
83,Shrimp,0
83,Steak,0
83,Tape,0
84,Bracket,0
84,Brush,0
84,Cereal,0
84,Ear Buds,0
84,Eggs,0
84,Glue,0
84,Keyboard,3
84,King Crab,0
84,Milk,0
84,Mouse,0
84,Nails,0
84,Noodles,0
84,Paint,0
84,Phone Charger,0
84,Power Cord,0
84,Shrimp,0
84,Steak,0
84,Tape,0
85,Bracket,0
85,Brush,0
85,Cereal,0
85,Ear Buds,0
85,Eggs,0
85,Glue,3
85,Keyboard,0
85,King Crab,0
85,Milk,3
85,Mouse,0
85,Nails,0
85,Noodles,0
85,Paint,0
85,Phone Charger,3
85,Power Cord,0
85,Shrimp,0
85,Steak,0
85,Tape,0
86,Bracket,0
86,Brush,0
86,Cereal,0
86,Ear Buds,0
86,Eggs,3
86,Glue,0
86,Keyboard,0
86,King Crab,0
86,Milk,0
86,Mouse,0
86,Nails,0
86,Noodles,0
86,Paint,0
86,Phone Charger,3
86,Power Cord,0
86,Shrimp,0
86,Steak,0
86,Tape,0
87,Bracket,3
87,Brush,0
87,Cereal,0
87,Ear Buds,9
87,Eggs,0
